id_jugador,nombre,apellido,edad,fecha_nacimiento,pais_nacimiento,altura,peso,lesionado,foto,id_equipo,nombre_equipo,id_liga,nombre_liga,temporada,posicion,partidos_jugados,partidos_titular,minutos_jugados,goles_total,asistencias,tarjetas_amarillas,tarjetas_rojas,penales_anotados,penales_fallados
13634,O. Bertel,Bertel Vergara,29,1996-09-09,Colombia,174 cm,71 kg,False,https://media.api-sports.io/football/players/13634.png,1125,Millonarios,667,Friendlies Clubs,2023,Defender,0,1.0,67.0,0.0,,0.0,0.0,,
13634,O. Bertel,Bertel Vergara,29,1996-09-09,Colombia,174 cm,71 kg,False,https://media.api-sports.io/football/players/13634.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Defender,0,3.0,270.0,0.0,,0.0,0.0,0.0,0.0
13634,O. Bertel,Bertel Vergara,29,1996-09-09,Colombia,174 cm,71 kg,False,https://media.api-sports.io/football/players/13634.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Defender,0,2.0,174.0,0.0,,0.0,0.0,0.0,0.0
13637,K. Moreno,Moreno Robles,25,2000-08-09,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,239,Primera A,2023,Midfielder,0,6.0,487.0,0.0,,1.0,0.0,0.0,0.0
13637,K. Moreno,Moreno Robles,25,2000-08-09,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,241,Copa Colombia,2023,Midfielder,0,0.0,4.0,0.0,,0.0,0.0,,
13637,K. Moreno,Moreno Robles,25,2000-08-09,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Midfielder,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13637,K. Moreno,Moreno Robles,25,2000-08-09,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,667,Friendlies Clubs,2023,Midfielder,0,0.0,0.0,0.0,,0.0,0.0,,
13637,K. Moreno,Moreno Robles,25,2000-08-09,Colombia,186 cm,83 kg,False,https://media.api-sports.io/football/players/13637.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Midfielder,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13638,S. Navarro,Navarro Otalora,25,2000-07-15,Colombia,186 cm,74 kg,False,https://media.api-sports.io/football/players/13638.png,1125,Millonarios,667,Friendlies Clubs,2023,Midfielder,0,0.0,0.0,0.0,,0.0,0.0,,
13655,J. Rengifo,Rengifo Clevel,27,1997-01-21,Colombia,176 cm,63 kg,False,https://media.api-sports.io/football/players/13655.png,1125,Millonarios,667,Friendlies Clubs,2023,Attacker,0,0.0,0.0,0.0,,0.0,0.0,,
196852,D. Abadía,Abadía García,24,1999-05-01,Colombia,179 cm,76 kg,False,https://media.api-sports.io/football/players/196852.png,1125,Millonarios,239,Primera A,2023,Attacker,0,,,,,,,,
196852,D. Abadía,Abadía García,24,1999-05-01,Colombia,179 cm,76 kg,False,https://media.api-sports.io/football/players/196852.png,1125,Millonarios,667,Friendlies Clubs,2023,Attacker,0,0.0,0.0,0.0,,0.0,0.0,,
265959,A. Moreno,Moreno Paz,22,2002-01-25,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,239,Primera A,2023,Defender,0,11.0,1034.0,1.0,,1.0,0.0,0.0,0.0
265959,A. Moreno,Moreno Paz,22,2002-01-25,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Defender,0,1.0,90.0,0.0,,1.0,0.0,0.0,0.0
265959,A. Moreno,Moreno Paz,22,2002-01-25,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,667,Friendlies Clubs,2023,Defender,0,0.0,0.0,0.0,,0.0,0.0,,
265959,A. Moreno,Moreno Paz,22,2002-01-25,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Defender,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,239,Primera A,2023,Attacker,0,13.0,1222.0,2.0,,0.0,0.0,0.0,0.0
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,241,Copa Colombia,2023,Attacker,0,2.0,195.0,0.0,,0.0,0.0,,
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Attacker,0,2.0,155.0,1.0,,0.0,0.0,0.0,0.0
265963,L. Paredes,Paredes Busatamante,23,2001-06-13,Colombia,180 cm,74 kg,False,https://media.api-sports.io/football/players/265963.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Attacker,0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0
265969,C. Romero,Romero Jiménez,23,2001-06-21,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,239,Primera A,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
265969,C. Romero,Romero Jiménez,23,2001-06-21,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,241,Copa Colombia,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,667,Friendlies Clubs,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,,
265969,C. Romero,Romero Jiménez,23,2001-06-21,Colombia,191 cm,81 kg,False,https://media.api-sports.io/football/players/265969.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,,
309389,J. Quiñones,Quiñones Guerrero,23,2002-10-08,Colombia,171 cm,68 kg,False,https://media.api-sports.io/football/players/309389.png,1125,Millonarios,239,Primera A,2023,Attacker,0,11.0,816.0,1.0,2.0,0.0,0.0,0.0,0.0
309389,J. Quiñones,Quiñones Guerrero,23,2002-10-08,Colombia,171 cm,68 kg,False,https://media.api-sports.io/football/players/309389.png,1125,Millonarios,241,Copa Colombia,2023,Attacker,0,0.0,0.0,0.0,,0.0,0.0,,
309389,J. Quiñones,Quiñones Guerrero,23,2002-10-08,Colombia,171 cm,68 kg,False,https://media.api-sports.io/football/players/309389.png,1125,Millonarios,667,Friendlies Clubs,2023,Attacker,0,1.0,68.0,0.0,,1.0,0.0,,
309389,J. Quiñones,Quiñones Guerrero,23,2002-10-08,Colombia,171 cm,68 kg,False,https://media.api-sports.io/football/players/309389.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Attacker,0,0.0,17.0,0.0,,0.0,0.0,0.0,0.0
309389,J. Quiñones,Quiñones Guerrero,23,2002-10-08,Colombia,171 cm,68 kg,False,https://media.api-sports.io/football/players/309389.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Attacker,0,0.0,33.0,0.0,,0.0,0.0,0.0,0.0
354064,J. González,González Morán,21,2003-03-11,Colombia,189 cm,81 kg,False,https://media.api-sports.io/football/players/354064.png,1125,Millonarios,239,Primera A,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
354064,J. González,González Morán,21,2003-03-11,Colombia,189 cm,81 kg,False,https://media.api-sports.io/football/players/354064.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Goalkeeper,0,0.0,0.0,0.0,,0.0,0.0,,
405539,J. Torres,Torres Henríquez,24,2001-03-31,Colombia,168 cm,63 kg,False,https://media.api-sports.io/football/players/405539.png,1125,Millonarios,239,Primera A,2023,Midfielder,0,3.0,203.0,0.0,,2.0,0.0,0.0,0.0
405539,J. Torres,Torres Henríquez,24,2001-03-31,Colombia,168 cm,63 kg,False,https://media.api-sports.io/football/players/405539.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Midfielder,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
405539,J. Torres,Torres Henríquez,24,2001-03-31,Colombia,168 cm,63 kg,False,https://media.api-sports.io/football/players/405539.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Midfielder,0,0.0,0.0,0.0,,0.0,0.0,,
414428,J. Hernández,Hernández Mejía,18,2006-02-20,Colombia,179 cm,75 kg,False,https://media.api-sports.io/football/players/414428.png,1125,Millonarios,239,Primera A,2023,Defender,0,0.0,94.0,0.0,,0.0,0.0,0.0,0.0
426552,S. Navarro,Navarro de la Cruz,21,2003-07-22,Colombia,,,False,https://media.api-sports.io/football/players/426552.png,1125,Millonarios,239,Primera A,2023,Attacker,0,13.0,1099.0,0.0,,0.0,0.0,0.0,0.0
426552,S. Navarro,Navarro de la Cruz,21,2003-07-22,Colombia,,,False,https://media.api-sports.io/football/players/426552.png,1125,Millonarios,241,Copa Colombia,2023,Attacker,0,5.0,406.0,0.0,,1.0,0.0,,
2481,Á. Montero,Montero Perales,30,1995-03-29,Colombia,197 cm,98 kg,False,https://media.api-sports.io/football/players/2481.png,1125,Millonarios,239,Primera A,2023,Goalkeeper,0,39.0,3510.0,0.0,,3.0,0.0,0.0,0.0
2481,Á. Montero,Montero Perales,30,1995-03-29,Colombia,197 cm,98 kg,False,https://media.api-sports.io/football/players/2481.png,1125,Millonarios,241,Copa Colombia,2023,Goalkeeper,0,7.0,630.0,0.0,,0.0,0.0,,
2481,Á. Montero,Montero Perales,30,1995-03-29,Colombia,197 cm,98 kg,False,https://media.api-sports.io/football/players/2481.png,1125,Millonarios,11,CONMEBOL Sudamericana,2023,Goalkeeper,0,6.0,540.0,0.0,,0.0,0.0,0.0,0.0
2481,Á. Montero,Montero Perales,30,1995-03-29,Colombia,197 cm,98 kg,False,https://media.api-sports.io/football/players/2481.png,1125,Millonarios,667,Friendlies Clubs,2023,Goalkeeper,0,1.0,90.0,0.0,,1.0,0.0,,
2481,Á. Montero,Montero Perales,30,1995-03-29,Colombia,197 cm,98 kg,False,https://media.api-sports.io/football/players/2481.png,1125,Millonarios,13,CONMEBOL Libertadores,2023,Goalkeeper,0,4.0,360.0,0.0,,0.0,0.0,0.0,0.0
