id_jugador,nombre,apellido,edad,fecha_nacimiento,lugar_nacimiento,pais_nacimiento,nacionalidad,altura,peso,lesionado,foto,id_equipo,nombre_equipo,logo_equipo,id_liga,nombre_liga,pais_liga,logo_liga,temporada,posicion,partidos_jugados,partidos_titular,minutos_jugados,rating,capitan,goles_total,goles_concedidos,asistencias,salvadas,pases_total,pases_key,pases_precision,tiros_total,tiros_al_arco,goles_pie_izq,goles_pie_der,goles_cabeza,goles_otros,tarjetas_amarillas,tarjetas_rojas,tarjetas_doble_amarilla,penales_anotados,penales_fallados,penales_atajados,regates_intentos,regates_exitosos,regates_fallidos,duelos_total,duelos_ganados,faltas_cometidas,faltas_recibidas
265906,R. Brochero,Brochero Vásquez,25,2000-03-05,Calamar,Colombia,Colombia,180 cm,72 kg,False,https://media.api-sports.io/football/players/265906.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Attacker,0,1.0,218.0,6.371428,False,0.0,0.0,,,51.0,1.0,,3.0,,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,4.0,3.0,,29.0,12.0,5.0,6.0
265906,R. Brochero,Brochero Vásquez,25,2000-03-05,Calamar,Colombia,Colombia,180 cm,72 kg,False,https://media.api-sports.io/football/players/265906.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Attacker,0,1.0,46.0,6.700000,False,0.0,0.0,,,5.0,1.0,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,,4.0,2.0,,1.0
265959,A. Moreno,Moreno Paz,22,2002-01-25,Quibdó,Colombia,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Defender,0,11.0,1034.0,6.833333,False,1.0,0.0,,,474.0,,,1.0,1.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,6.0,5.0,,51.0,35.0,8.0,2.0
265959,A. Moreno,Moreno Paz,22,2002-01-25,Quibdó,Colombia,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Defender,0,1.0,90.0,6.300000,False,0.0,0.0,,,65.0,,54.0,,,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,,5.0,4.0,1.0,
265959,A. Moreno,Moreno Paz,22,2002-01-25,Quibdó,Colombia,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Defender,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265959,A. Moreno,Moreno Paz,22,2002-01-25,Quibdó,Colombia,Colombia,185 cm,79 kg,False,https://media.api-sports.io/football/players/265959.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Defender,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
265960,D. Victoria,Victoria Palacios,24,2001-03-19,Bogotá,Colombia,Colombia,176 cm,68 kg,False,https://media.api-sports.io/football/players/265960.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,239,Primera A,Colombia,https://media.api-sports.io/football/leagues/239.png,2023,Midfielder,0,0.0,64.0,6.450000,False,0.0,0.0,,,34.0,,,,,0,0,0,0,1.0,0.0,0.0,0.0,0.0,,,,,6.0,2.0,2.0,
265960,D. Victoria,Victoria Palacios,24,2001-03-19,Bogotá,Colombia,Colombia,176 cm,68 kg,False,https://media.api-sports.io/football/players/265960.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,11,CONMEBOL Sudamericana,World,https://media.api-sports.io/football/leagues/11.png,2023,Midfielder,0,0.0,0.0,,False,0.0,0.0,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
265960,D. Victoria,Victoria Palacios,24,2001-03-19,Bogotá,Colombia,Colombia,176 cm,68 kg,False,https://media.api-sports.io/football/players/265960.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,667,Friendlies Clubs,World,https://media.api-sports.io/football/leagues/667.png,2023,Midfielder,0,0.0,14.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
265960,D. Victoria,Victoria Palacios,24,2001-03-19,Bogotá,Colombia,Colombia,176 cm,68 kg,False,https://media.api-sports.io/football/players/265960.png,1125,Millonarios,https://media.api-sports.io/football/teams/1125.png,13,CONMEBOL Libertadores,World,https://media.api-sports.io/football/leagues/13.png,2023,Midfielder,0,0.0,0.0,,False,0.0,,,,,,,,,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,
